city,district,district1,district2,name,area,month,day,price,floor,built,road_name
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200608,28,"55,700",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200608,28,"86,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,131.08,200608,31,"125,000",10,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200609,1,"58,800",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200609,7,"60,500",6,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,9,"86,000",8,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200609,11,"57,250",5,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,11,"78,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200609,12,"56,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,136.34,200609,13,"135,000",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,14,"80,000",9,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,18,"85,500",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,160.74,200609,19,"163,500",10,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,131.08,200609,19,"118,000",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,19,"80,000",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200609,20,"60,000",5,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200609,20,"81,500",8,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200609,21,"63,000",8,1981,올림픽로4길 42
